;;;;
Antalet personer på MSS&Engineering;68;Sofia;;
Omsättningen för Autoliv år 2019 i miljoner;10;Sofia;;
Antalet tusen liv Autolivs produkter räddade år 2021;35;Autoliv.com;;
Antalet år sedan Autoliv startade;70;duh;;
Populationen i Vårgårda kommun (i tusen);12;wikipedia;;
mg/g Nikotin i en  Vårgårda-snus av normal styrka;10;;;
Antal g kolhydrater i en Happy Meal McToast Kalkon (per 100g);47;McDonalds.se;;
De två sista siffrorna i numret till receptionen (Switch board phone);0;Lifenet;;
Antalet trekantiga trappsteg i spiraltrappan längst ner i safety-gången;23;;;
Numret på AS-standarden för Limit and Margin Testing for Airbag Modules minus hundra;41;AS-standardena;;
Halva längden, i millimeter, på en ASP-5.1 P14 gasgenerator;65;Ritning 6241019 001;;
Året, utan århundrade, då Lennart Lindblad föddes;29;Wikipedia;;
Antalet länder vi har plantor i;28;Autoliv.com;;
Antalet miljoner USD Autoliv hade i omsättning 2022;8;Autoliv.com;;
Antalet hundra-tusen allvarliga olyckor våra produkter förhindrar varje år;3;Autoliv.com;;
"Numret på symaskinsoljan ""Bayol XX"" som används i experiment ";85;;;
Hur många pallar finns det i safey-gången;8;;;
Antalet kuddar i safety-gången;13;;;
Antalet händelser på tidslinjen i safety-gången;58;;;
Antalet analoga kanaler i DAU i Lab 1;16;Johnny;;
"Antalet ""Facilities"" i Autoliv Americas";18;Lifenet;;
"Antalet ""Product lines"" i Lifenet ";3;Lifenet;;
Antalet personer i Board of Directors ;11;Lifenet;;
Ungefärligt antalet anställda i Autoliv i Kina i tusental;9;Lifenet;;
"Antalet Autoliv-koppar i skåpet märkt ""Muggar"" i Teknikkontorets fikarum den 31 augusti 2023, kl 12:57";40;Patrik;;
Antalet knappar på kortläsarna in till TC-korridoren;16;Patrik;;
Antalet element i Autoliv Strategy Framework är;4;Lifenet;;
"Antalet år efter grundandet 1953 som företaget byter namn till ""Autoliv AB""";41;Lifenet;;
Antalet år mellan Autoliv IC och Autoliv Hood lifter introduceras på marknaden;7;Lifenet;;
Antalet år sedan Veoneer grundades;5;Lifenet;;
"Antalet träffar på Google.se (2023-08-31, kl 13:00) på ""Autoliv i Vårgårda"" i tusental";39;Google.se;;
Antalet miljoner tillverkade bilar 2017;92;Lifenet;;
Antalet länder Autoliv hade kontor i 2022;27;Autoliv General presentation;;
Antalet platser Autoliv har Tech Center 2022;14;Autoliv General presentation;;
Antalet bilmärken Autoliv sålde till 2022;100;Autoliv General presentation;;
Antalet HUD (Head-up-display)-system Autoliv sålde 2022 (i tusental);0;;;
Antalet gram coating/kvadratmeter för AB-tyget Mileken 646 9823 01A;15;;;
Antalet gram coating/kvadratmeter för AB-tyget Torey D-vagn 616 6037 05A;30;;;
Hur gammal är Mikael Bratt;56;hitta.se;;
Från Trafikverkets siffror, antal tusen lindrigt skadade i trafiken per år;15;;;
Från Trafikverkets siffror, andelen av dödsfall i trafiken som är alkohol eller drogrelaterade;20;;;
Från Trafikverkets siffror, andelen av dödsfall i trafiken som inte använde säkerhetsbälte;40;;;
Från Trafikverkets siffror, andelen av omkomna i trafiken som är män;75;;;
Från Trafikverkets siffror, dödsrisken i % för fotgängare som blir påkörda av en bil i 30km/h;10;;;
Från Trafikverkets siffror, dödsrisken i % för fotgängare som blir påkörda av en bil i 50km/h;80;;;
Från Trafikverkets siffror, dödsrisken i % för fotgängare som blir påkörda av en bil i 90km/h;99;;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Avsväng""";9;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Cykel och moped""";20;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Gående""";23;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Korsning""";11;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Möte""";43;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Omkörning""";4;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen"" Singel""";51;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Upphinnande (bakifrån)""";10;Trafikverket;;
"Enligt trafikverkets data, antalet omkomna år 2021 vid olycks-typen ""Vilt""";3;Trafikverket;;
Marknadsandelen i procent som Autoliv har;43;autoliv.com;;
"procentantalet ""SUSTAINABILITY AUDIT OF NEW SUPPLIERS"" som står på autoliv.com för 2022";98;autoliv.com;;
Autolivs Nettointäckter 2022, i miljarder dollar;9;autoliv.com;;
"procentandelen för ""ORGANIC SALES GROWTH"" som står på autoliv.com för 2022";14;;;
"procentandelen för ""CASH CONVERSION"" som står på autoliv.com för 2022";54;;;
"procentandelen för ""ADJUSTED OPERATING MARGIN"" som står på autoliv.com för 2022";7;;;
År som airbag-plantan ATA har funnits;19;;;
procentandelen som ett säkerhetsbälte minskar skador med är;45;Lifenet;;
Bromssträckan i meter under optimala förhållanden, där bilen kör i 30 km/h;5;trafikverket;;
Bromssträckan i meter under optimala förhållanden, där bilen kör i 50 km/h;13;trafikverket;;
Bromssträckan i meter under optimala förhållanden, där bilen kör i 70 km/h;25;trafikverket;;
Bromssträckan i meter under optimala förhållanden, där bilen kör i 100 km/h;50;trafikverket;;
Bromssträckan i meter under optimala förhållanden, där bilen kör i 120 km/h;72;trafikverket;;
Bromssträckan i meter under optimala förhållanden, där bilen kör i 140 km/h;98;trafikverket;;
Atomnumret som Kväve (N) har i det periodiska systemet;7;Science;;
Atomnumret som Aluminium (Al) har i det periodiska systemet;13;Science;;
Atomnumret som Skandium (Sc) har i det periodiska systemet;21;Science;;
Atomnumret som Silver (Ag) har i det periodiska systemet;47;Science;;
Atomnumret som Neodymium (Nd) har i det periodiska systemet;60;Science;;
Atomnumret som Radon (Rn) har i det periodiska systemet;86;Science;;
Atomnumret som Aktinium (Ac) har i det periodiska systemet;89;Science;;
Atomnumret som Einsteinium (Es) har i det periodiska systemet;99;Science;;
Atomnumret som Fermium (Fm) har i det periodiska systemet;100;Science;;
Antalet omkomna i trafikolyckor i Uber i USA under 2019&2020 ;100;New york times;;
Året, utan århundrade, då Autoliv började serieproducera krockgardiner;99;;;
Året, utan århundrade, då Autolivs fabrik brann;95;;;
Året, utan århundrade, då förbifarten förbi Vårgårda (nuvarande E20 mellan Doggy och Rasta) öppnades för trafik;67;;;
Året, utan århundrade, då eleverna i Vårgårdas skolor fick skolmåltid för första gången;62;;;
Året, utan århundrade, då Fredrik Kempe från Vårgårda debuterade som jurymedlem i TV-programmet Idol;16;;;
Året, utan århundrade, då Gullhögsskolan invigdes med Vårgårdas första gymnastiksal;59;;;
Året, utan århundrade, då I15 i Borås slutade använda Tånga Hed som militär övningsplats;95;;;
Året, utan århundrade, då Johan Petter Johansson från Vårgårda fick patent på skiftnyckel med en justerbar käft;92;;;
Året, utan århundrade, då Kullingsleden med bro över järnvägen i Vårgårda invigdes;92;;;
Året, utan århundrade, då Kungsgatan genom centrala Vårgårda fick gatubelysning;56;;;
Året, utan århundrade, då motorvägen mellan Vårgårda och Alingsås öppnades;20;;;
Året, utan århundrade, då Renco Centellini öppnade La Stalla, Vårgårdas första pizzeria;82;;;
Året, utan århundrade, då Sundolitt startade sin produktion i Vårgårda;68;;;
Året, utan århundrade, då teaterlokalen Kulturen invigdes, med besök av bland annat Kjerstin Dellert;87;;;
Året, utan århundrade, då telenätet i Vårgårda automatiserades och alla fick byta till femsiffriga telefonnummer;56;;;
Året, utan århundrade, då Tånga Hed blev militär övningsplats för A2, Kungliga Göta Artilleriregemente;62;;;
Året, utan århundrade, då Tångahallen brann ner 31 maj;10;;;
Året, utan århundrade, då Vårgårda armaturfabrik startades;20;;;
Året, utan århundrade, då Vårgårda Cykelklubb arrangerade en deltävling i Women World Cup för första gången;6;;;
Året, utan århundrade, då Vårgårda flygfält byggdes;66;;;
Året, utan århundrade, då Vårgårda fick sin första egna ambulans;2;;;
Året, utan århundrade, då Vårgårda fick svart/vita Amazoner, så att poliserna slapp använda sina privata bilar;65;;;
Året, utan århundrade, då Vårgårda kommun passerade 10 000 invånare;90;;;
Året, utan århundrade, då Vårgårda rostat ris började produceras;36;;;
Året, utan århundrade, då Vårgårdas golfbana öppnades för spel 3 augusti och invigdes 30 april året därpå;8;;;
Året, utan århundrade, då Wårgårda kinematografteater fick en anläggning för att kunna visa film med ljud;29;;;
Antalet mil för den kortaste färdvägen från Autoliv Vårgårda till Autoliv HO i Stockholm;41;Google Maps;;
Antalet kilometer för den kortaste färdvägen från Autoliv Vårgårda till Autoliv Lindholmen;70;Google Maps;;
Modellbeteckningen som den lilla Volvon som tidigare sålts som DAF har;66;volvocars.com;;
Modellnummret som Saab JAS Gripen har och som Autoliv levererar airbag till;39;;;
Antalet millimeter för diametern på en ADP-1.3 gasgenerator, utan fläns;60;;;
Antalt miljoner Volkswagen Typ 1, Bubblan, som någonsin har tillverkats;21;Wikipedia;;
Ungefärligt antal millioner bilar som var återkallade 2022 i  Takata återkallningen;67;;;
"Antal anställda at ""komponent-labbet""-gruppen (inkl. Manager)";13;;;
"Antal anställda at ""krock&logistic""-gruppen (inkl. Manager)";15;;;
"Antal anställda at ""Experiment/Centralverkstaden""-gruppen (inkl. Manager)";21;;;
Ytterdiametern på en autoliv-kopp idag [mm];78;;;
Antal färger/mönster på bälten på experiment idag;18;;;
Ökningen, i procentenheter av användandet av säkerhetsbälte efter lagkravet år 1975;35;;;
Tiden i minuter att gå mellan Pizzeria Valentino i till krockbana 1;13;;;
Gatnummer på besöksaddressen i Vårgårda (Wallentinsvägen);22;;;
Antalet bilar registrerade på Autoliv Sverige Aktiebolag juli 2023;59;;;
"Antalet mötesrum som går att boka i Vårgårda genom ""room finder"" i Outlook";20;;;
Antalet nya vårgårda-bor som tillkommit i år (fram till och med Aug);67;vårgårda.se;;
Numret på kungsgatan där vårgårda kommuns reception ligger ;45;vårgårda.se;;
Antalet Miljarder USD som autoliv är värderat till;8;Yahoo Finance;;
Antalet i tusental som var Autolivs första order på bälten;4;Lifenet - 70-årsslide;;
Antalet gram gas(H2+O2) i heltal för en APG-1 HP;63;Lifenet;;
Antalet i tiotal % som Autoliv-aktien är upp iår (31-08-2023);30;Lifenet;;
Antalet kg Co2e går åt för att tillverka en IC-modul.;12;V317 IC Pulse LCA.;;
Antalet miljoner Autolivaktier som det finns;90;Avanza;;
Antalet tusentals kronor som en Autolivaktie kostar (31-08-2023);1;Avanza;;
Antalet Q's i Autolivs kvalitésdimensioner;5;Lifenet;;
Antalet divisioner inom Autoliv (ex AEU);4;Lifenet;;
Antalet år som Mikael Bratt har jobbat på Autoliv;8;LinkedIn;;
Antalet i procent ägande som den största ägaren i Autoliv har;11;Avanza;;
"Antalet golftävlingar per år på den berömda ""AutolivTouren""";5;Clas W - mail;;
Avståndet (fågelvägen) mellan ALS och AHO i mil;34;;;
"Antalet Autoliv-anställda på ""Bring the Action""-tavlan";25;Tavlan;;
Antalet Bring the action filminspelningar som har ägt rum på ALS;2;Nils;;
